,InstrumentTicker,InstrumentLongName,bicsSector,bicsIndustry,bicsSubIndustry,Momentum,Size,Quality,Value,Volatility,Yield
199,PKG,PACKAGING CORP AMER COM,Materials,Containers & Packaging,Containers & Packaging,0.009033251098956271,-0.024734522927831296,0.00866102073089197,0.01946702107367226,-0.024934708833824957,-0.01518232801483376
201,COO,COOPER COS INC COM NEW,Health Care,Medical Equipment & Devices,Health Care Supplies,-1.111228541408907,-0.2194540268698589,-0.4818607513596965,-0.3602639911206529,0.17779530477231395,-0.6461640410130052
204,CHD,CHURCH & DWIGHT INC COM,Consumer Staples,Consumer Products,Household Products,-0.38546433433512184,-0.08626294357131821,-0.888956637445499,-0.9784094954763792,0.1486958431817892,-0.505499722038723
205,ROK,ROCKWELL AUTOMATION COM,Industrials,Electrical Equipment,Measurement Instruments,0.30719309452557053,-0.06582624327369258,0.7482455503204433,1.3695059835325696,1.0919652547600487,1.0818799104467232
209,TFX,TELEFLEX INC COM,Health Care,Medical Equipment & Devices,Health Care Supplies,0.07465028899877732,-0.17181811062576247,1.0839810510598804,-0.014160828736680677,0.7066040896714123,-0.260214287449413
210,EFX,EQUIFAX INC COM,Technology,Technology Services,Information Services,0.7502406600218897,-0.14496684702325785,-0.9203962427811914,-1.0956582461628395,0.6353079365217675,0.22246209230385536
214,XEC,CIMAREX ENERGY CO COM,Energy,"Oil, Gas & Coal",Exploration & Production,-0.27450478429871844,-0.18407784936363988,-3.289796908583604,-0.29776185959574003,2.5510190062460745,0.5506864104871364
215,CPT,CAMDEN PPTY TR SH BEN INT,Financials,Real Estate,REIT,-0.30209638445800174,-0.37900830658410517,-0.4941814203722479,-0.4787360847806861,0.0363317488283467,-0.3020031453614116
217,IRM,IRON MTN INC COM,Financials,Real Estate,REIT,-0.08894043103797433,-0.3973515797085365,-1.4248981940273167,-1.999879962857403,0.07689581875546478,3.8442163868648627
218,XLNX,XILINX INC COM,Technology,Semiconductors,Semiconductor Devices,-0.6965984557101094,-0.9563082995429414,-0.3361459048986807,-0.3691847863823382,-1.022258438043696,-0.7290117704237127
219,TIF,TIFFANY & CO NEW COM,Consumer Discretionary,Retail - Discretionary,Jewelry & Watch Stores,0.009033251098956271,-0.024734522927831296,0.00866102073089197,0.01946702107367226,-0.024934708833824957,-0.01518232801483376
221,COG,CABOT OIL & GAS CORP COM,Energy,"Oil, Gas & Coal",Exploration & Production,3.4855503268698484,-0.10281987006226534,0.3000587711067274,0.6624950651793092,-5.4503318251870825,-0.9310333666459712
222,FBHS,FORTUNE BRANDS HOME & SECURITY INC C,Consumer Discretionary,Home & Office Products,Home Improvement,0.009033251098956271,-0.024734522927831296,0.00866102073089197,0.01946702107367226,-0.024934708833824957,-0.01518232801483376
225,HSY,HERSHEY CO COM,Consumer Staples,Consumer Products,Packaged Food,-0.6818346221826502,0.09113374590379605,0.3843554838860924,-0.05119603162430557,-0.6955644734797498,0.6094179348538105
229,VRSK,VERISK ANALYTICS INC,Technology,Technology Services,Information Services,0.022488057860232922,0.0010871644900920059,-0.3280997987920961,0.3437040281471162,-1.4462898731971872,-0.1668063710411499
232,HEI,HEICO CORP NEW COM,Industrials,Aerospace & Defense,Aircraft & Parts,0.009033251098956271,-0.024734522927831296,0.00866102073089197,0.01946702107367226,-0.024934708833824957,-0.01518232801483376
233,HUBB,HUBBELL INC,Industrials,Electrical Equipment,Electrical Components,-0.6096227405747147,-0.17750656359276926,-0.047232630890869015,-1.9937006072327788,-0.959067530392931,1.6199597762228186
234,EXR,EXTRA SPACE STORAGE COM,Financials,Real Estate,REIT,0.36520900703230574,-0.3216028088753035,0.5722972380919459,-1.3792556551282389,-1.792194069769639,-0.2260041540765781
235,RMD,RESMED INC COM,Health Care,Medical Equipment & Devices,Health Care Supplies,0.9753932638054196,0.014201822969781931,-0.04445692231120712,1.2575311596484615,-0.4898961920918916,0.2312258226203284
236,FRT,FEDERAL REALTY INVT SH BEN INT NEW,Financials,Real Estate,REIT,-1.1642644945598992,-0.4370705112863527,0.32156392551413243,-1.9514702232394177,0.9146585475150059,2.0927574667716033
237,CHRW,C H ROBINSON WORLDWI COM NEW,Industrials,Transportation & Logistics,Logistics Services,0.13032535145923269,-0.03921126063844357,-0.5330126811775168,0.008809356193724013,-0.21801291779110718,0.6130520546508964
238,TSCO,TRACTOR SUPPLY CO COM,Consumer Discretionary,Retail - Discretionary,Home Products Stores,1.3380765278335252,-0.8396160384384037,-0.7218299076984843,-0.9775519368971657,-0.73862246011841,-0.33177885440095234
240,TRU,TRANSUNION,Technology,Technology Services,Information Services,-0.6312962470325352,-0.19911229602752106,-1.7996601733658055,-0.509477410640112,0.8813211030858387,-0.47868385349583226
242,MXIM,MAXIM INTEGRATED PRO COM,Technology,Semiconductors,Semiconductor Devices,0.3739534596009185,-1.099350895792885,0.1464327183610097,-0.961342862137975,-0.4222976701396976,0.8860047519767172
246,FLIR,FLIR SYS INC COM,Technology,Hardware,Other Hardware,0.009033251098956271,-0.024734522927831296,0.00866102073089197,0.01946702107367226,-0.024934708833824957,-0.01518232801483376
251,CLX,CLOROX CO DEL COM,Consumer Staples,Consumer Products,Household Products,0.40353083653303506,0.036793897715655485,0.9062786789072829,1.0173435376237243,-0.19856526084944084,0.47513506600905514
253,BR,BROADRIDGE FINL SOLU COM,Technology,Technology Services,Payment & Data Processors,0.8458824637485993,-0.34710014767778113,-0.6015151871587047,0.27868918682273863,-0.225565939821233,-1.0476703845488233
260,ROL,ROLLINS INC COM,Consumer Discretionary,Commercial Services,Building Maintenance Services,0.009033251098956271,-0.024734522927831296,0.00866102073089197,0.01946702107367226,-0.024934708833824957,-0.01518232801483376
265,LW,LAMB WESTON HOLDINGS INC,Consumer Staples,Consumer Products,Packaged Food,-1.0401434170174337,-0.2456483211427443,0.24339204600714442,0.7860401334027367,2.381010187165671,-0.38621659198794245
267,FDS,FACTSET RESH SYS INC COM,Technology,Technology Services,Information Services,0.324326432199412,-0.26252467297326876,1.7186794036845081,-0.3102750105376008,-0.747109797978113,0.1662353009112796
